Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database time zone,Type,Source
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-1.116968636618206,1.7082455414421014,2.597420472208487,1.699633359994223,U,Pacific/Port_Moresby,airport,OurAirports
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-1.0861046424789151,1.712846602507972,-0.6076474253799352,1.699633359994223,U,Pacific/Port_Moresby,airport,OurAirports
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-1.1079735051635276,1.6955435500119187,2.661984743805669,1.699633359994223,U,Pacific/Port_Moresby,airport,OurAirports
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-1.134193597213217,1.7237056634326628,-0.4742552038725493,1.699633359994223,U,Pacific/Port_Moresby,airport,OurAirports
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-1.235598886454694,1.7294311481550448,-0.5309012157455488,1.699633359994223,U,Pacific/Port_Moresby,airport,OurAirports
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-1.028821997199275,1.6882769576500085,-0.6082565222817954,1.699633359994223,U,Pacific/Port_Moresby,airport,OurAirports
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,1.255932044910613,-0.5032361646615728,-0.5516105104087959,-0.5747796777216921,E,America/Godthab,airport,OurAirports
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,1.3628715382992482,-0.5756947859210167,-0.4474549401907001,-0.5747796777216921,E,America/Godthab,airport,OurAirports
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,1.4624326960465486,-0.5644935816330441,-0.5193283746102048,-0.5747796777216921,E,America/Godthab,airport,OurAirports
10,Thule Air Base,Thule,Greenland,THU,BGTL,1.7983465284230218,-0.7730068809878016,-0.4669460410502268,-0.7497345267767626,E,America/Thule,airport,OurAirports
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,1.4147144464677297,-0.18622561271992427,-0.6161747820059781,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,1.4014210824377396,-0.14367713783756547,-0.5735379988757634,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,1.3665662223344561,-0.15324773641279002,-0.6052110377724943,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
14,Húsavík Airport,Husavik,Iceland,HZK,BIHU,1.4250292883609283,-0.17873070061875665,-0.5905927121278494,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,1.4287627389582789,-0.2448985138816697,-0.6149565882022577,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,1.355605486481351,-0.23875957318025998,-0.5156737931990436,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,1.411037252579256,-0.25451431062250496,-0.6131292974966771,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,1.3607222537392325,-0.23105255716196246,-0.5905927121278494,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,1.4314165732953108,-0.1960071295720227,-0.6137383943985373,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,1.3358190376855474,-0.21179432339912382,-0.4212637734107111,-0.049915130556480974,N,Atlantic/Reykjavik,airport,OurAirports
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,0.7380503132675587,-0.9561925266776655,-0.2360983152452074,-0.9246893758318329,A,America/Toronto,airport,OurAirports
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,,CYAV,0.8640809620333112,-1.101328787342555,-0.1569157180033802,-1.0996442248869034,A,America/Winnipeg,airport,OurAirports
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,,CYAW,0.6729318159563129,-0.7126975321088206,-0.5321194095492692,-0.7497345267767626,A,America/Halifax,airport,OurAirports
24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,0.9112092019654731,-0.6267464391721427,-0.5540468980162367,-0.6622571022492273,A,America/St_Johns,airport,OurAirports
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,0.8296190084589906,-1.434446210952547,-0.5711016112683226,-1.449553922997044,A,America/Vancouver,airport,OurAirports
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,1.516148671946945,-1.0176016975865616,-0.5857199369129676,-1.2745990739419737,A,America/Edmonton,airport,OurAirports
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,0.8314775564501202,-0.7672260221349307,-0.5765834833850645,-0.9246893758318329,A,America/Toronto,airport,OurAirports
28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,0.8031794508011448,-0.7995838532424246,-0.30188078064611,-0.9246893758318329,A,America/Toronto,airport,OurAirports
29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,1.366682527015445,-1.0902642593955998,-0.583892646207387,-1.0996442248869034,A,America/Winnipeg,airport,OurAirports
30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,0.8603545123809079,-1.428598398598823,-0.4090818353735069,-1.449553922997044,A,America/Vancouver,airport,OurAirports
31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,0.8589146613436397,-1.135163071639748,0.19818777578112193,-1.0996442248869034,A,America/Winnipeg,airport,OurAirports
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,1.5363938911252868,-1.195267323708554,-0.5650106422497205,-1.2745990739419737,A,America/Edmonton,airport,OurAirports
33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,0.8287416292942219,-1.4123598985208943,-0.5637924484460001,-1.449553922997044,A,America/Vancouver,airport,OurAirports
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,0.8372613476947064,-1.3400663477135446,0.36934400520384075,-1.449553922997044,A,America/Vancouver,airport,OurAirports
35,Miramichi Airport,Chatham,Canada,YCH,CYCH,0.7564993467067341,-0.7352947269321457,-0.5540468980162367,-0.7497345267767626,A,America/Halifax,airport,OurAirports
36,Charlo Airport,Charlo,Canada,YCL,CYCL,0.7911882324300941,-0.7455061730020812,-0.5394285723715917,-0.7497345267767626,A,America/Halifax,airport,OurAirports
37,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,1.490821957938373,-1.3112316383328984,-0.5747561926794839,-1.2745990739419737,A,America/Edmonton,airport,OurAirports
38,Coronation Airport,Coronation,Canada,YCT,CYCT,0.9353150854088208,-1.2683621763300696,0.960777096910104,-1.2745990739419737,A,America/Edmonton,airport,OurAirports
39,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,0.8321939846371137,-1.3899822367035477,-0.6003382625576127,-1.449553922997044,A,America/Vancouver,airport,OurAirports
40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,1.5850218917549679,-0.7708454362630608,-0.5668379329553012,-0.9246893758318329,A,America/Toronto,airport,OurAirports
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,1.362956077360739,-0.9428646049055901,-0.4919190140264954,-0.9246893758318329,A,America/Coral_Harbour,airport,OurAirports
42,Dawson City Airport,Dawson,Canada,YDA,CYDA,1.3576556934097077,-1.5891938742922935,0.12022337234301511,-1.449553922997044,A,America/Vancouver,airport,OurAirports
43,Burwash Airport,Burwash,Canada,YDB,CYDB,1.2633639440620767,-1.588185524296666,0.9924501358068349,-1.449553922997044,A,America/Vancouver,airport,OurAirports
44,Princeton Airport,Princeton,Canada,,CYDC,0.8433205639845499,-1.3734324403990152,0.7798753170576219,-1.449553922997044,A,America/Vancouver,airport,OurAirports
45,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,0.8342406915395336,-0.6419089584443046,-0.5759743864832043,-0.6622571022492273,A,America/St_Johns,airport,OurAirports
46,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,1.1593005288768767,-1.4837758514983148,0.9638225814194051,-1.449553922997044,A,America/Vancouver,airport,OurAirports
47,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,0.9009366287080067,-1.1363232361736573,-0.011341558458790132,-1.0996442248869034,A,America/Winnipeg,airport,OurAirports
48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,1.064729854462075,-1.3696310564088914,0.6885107817785905,-1.2745990739419737,A,America/Dawson_Creek,airport,OurAirports
49,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,0.9788862230527283,-1.2931057447618424,0.8255575846971376,-1.2745990739419737,A,America/Edmonton,airport,OurAirports
50,Arviat Airport,Eskimo Point,Canada,YEK,CYEK,1.2535924128405078,-1.0670042139552527,-0.6003382625576127,-1.0996442248869034,A,America/Winnipeg,airport,OurAirports
